url,title,brand,Switch Type,Hot-Swap,Keycaps,Keycap Color,Size,Key Count,Frame Color,LED Backlight,Connection,Response Rate,N-Key Rollover,Anti-Ghosting,Compatibility,Physical Layout,Regional Layout,Dimensions,Weight,Warranty,model
https://keybumps.com/keyboard/corsair-vanguard-96-dual-tone.html,Corsair Vanguard 96 Mechanical Gaming Keyboard - Dual Tone,Corsair,Corsair MLX Quantum,No,Shine-through,Black/White,96%,98 keys,Black,RGB,USB Type A,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,388 Ã 141 Ã 43 mm,0.994kg,2 Year,Vanguard 96 Mechanical Gaming Keyboard - Dual Tone
https://keybumps.com/keyboard/corsair-vanguard-96-wireless.html,Corsair Vanguard 96 Wireless Mechanical Gaming Keyboard,Corsair,Corsair MLX Plasma,Yes,Shine-through,Black,96%,98 keys,Black,RGB,"USB Type A, Bluetooth + 2.4GHz wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,388 Ã 141 Ã 43 mm,1.17kg,2 Year,Vanguard 96 Wireless Mechanical Gaming Keyboard
https://keybumps.com/keyboard/corsair-vanguard-96.html,Corsair Vanguard 96 Mechanical Gaming Keyboard,Corsair,"Corsair MLX Fusion, MLX Plasma, or MLX Pulse",No,Shine-through,Black,96%,98 keys,Black,RGB,USB Type A,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,388 Ã 141 Ã 43 mm,0.994kg,2 Year,Vanguard 96 Mechanical Gaming Keyboard
https://keybumps.com/keyboard/corsair-vanguard-air-99-wireless-black.html,Corsair Vanguard AIR 99 Wireless Mechanical Gaming Keyboard - Black,Corsair,Corsair OPX low-profile,No,Shine-through,Black,99%,107 keys,Black,RGB,"USB Type A, Bluetooth + 2.4GHz wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,425.63 x 137.63 x 26.27mm,0.928kg,2 Year,Vanguard AIR 99 Wireless Mechanical Gaming Keyboard - Black
https://keybumps.com/keyboard/corsair-vanguard-air-99-wireless-white.html,Corsair Vanguard AIR 99 Wireless Mechanical Gaming Keyboard - White,Corsair,Corsair OPX low-profile,No,Shine-through,White/Gray,99%,107 keys,White,RGB,"USB Type A, Bluetooth + 2.4GHz wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,425.63 x 137.63 x 26.27mm,0.928kg,2 Year,Vanguard AIR 99 Wireless Mechanical Gaming Keyboard - White
https://keybumps.com/keyboard/corsair-vanguard-pro-96.html,Corsair Vanguard Pro 96 Hall Effect Gaming Keyboard,Corsair,Corsair MGX V2 Hyperdrive,No,Shine-through,Black,96%,98 keys,Black,RGB,USB Type A,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,388 Ã 141 Ã 43 mm,1.097kg,2 Year,Vanguard Pro 96 Hall Effect Gaming Keyboard
https://keybumps.com/keyboard/das-keyboard-4-professional-for-mac.html,Das Keyboard 4 Professional for Mac,Das Keyboard,Cherry MX Blue or Brown,No,,Black,Full Size,104 keys,Black,None,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,MacOS X,ANSI,US English,18 x 6.8 x .80 inches (45.72 x 17.272 x 2.032 cm),2.9 lbs (1.3 kg),1 Year,4 Professional for Mac
https://keybumps.com/keyboard/das-keyboard-4-professional.html,Das Keyboard 4 Professional Mechanical Keyboard,Das Keyboard,Cherry MX Blue or Brown,No,,Black,Full Size,104 keys,Black,None,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows 10, Linux",ANSI,US English,18 x 6.8 x .80 inches (45.72 x 17.272 x 2.032 cm),2.9 lbs (1.3 kg),1 Year,4 Professional
https://keybumps.com/keyboard/das-keyboard-4-ultimate.html,Das Keyboard 4 Ultimate Mechanical Keyboard,Das Keyboard,Cherry MX Blue or Brown,No,,Black,Full Size,104 keys,Black,None,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows 10, 8, 7, Mac or Linux",ANSI,US English,18 x 6.8 x .80 inches (45.72 x 17.272 x 2.032 cm),2.9 lbs (1.3 kg),1 Year,4 Ultimate
https://keybumps.com/keyboard/das-keyboard-model-s-professional-for-mac.html,Das Keyboard Model S Professional for Mac Mechanical Keyboard,Das Keyboard,Cherry MX Blue,No,,Black,Full Size,104 keys,Black,None,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows 10, 8, 7, Linux, or MacOS X",ANSI,US English,18 x 6.5 x 1 in,1.36 kg (3 lbs),1 Year,Model S Professional for Mac
